Diện tích,Mức giá,Mặt tiền,Số tầng,Đường vào,Số phòng ngủ,Số toilet
96.0,36.0,9.0,6.0,15.0,6.0,6.0
128.0,27.8,5.0,4.0,15.0,6.0,5.0
188.0,55.0,8.0,5.0,10.0,5.0,5.0
370.0,190.0,21.0,4.0,20.0,5.0,4.0
30.0,3.4,3.0,5.0,2.0,3.0,4.0
18.0,3.93,3.0,5.0,3.0,2.0,3.0
35.0,2.6,4.0,3.0,4.0,3.0,3.0
228.0,55.0,30.0,5.0,24.0,4.0,6.0
38.0,8.08,4.0,6.0,3.0,3.0,5.0
32.0,4.63,3.0,4.0,2.0,4.0,4.0
31.0,4.83,4.0,5.0,2.0,3.0,4.0
34.0,4.8,3.0,5.0,2.0,3.0,4.0
37.0,5.58,3.0,5.0,3.0,3.0,4.0
35.0,4.65,3.0,5.0,2.0,3.0,4.0
310.0,140.0,7.0,2.0,3.0,4.0,4.0
120.0,42.0,8.0,4.0,3.0,4.0,5.0
238.0,94.0,8.0,4.0,30.0,4.0,4.0
60.0,9.5,4.0,5.0,3.0,4.0,4.0
100.0,70.0,6.0,6.0,30.0,5.0,5.0
48.0,15.5,4.0,6.0,12.0,5.0,5.0
40.0,12.9,5.0,7.0,2.0,6.0,6.0
50.0,12.5,5.0,5.0,12.0,4.0,5.0
86.0,13.8,5.0,3.0,10.0,3.0,3.0
56.0,9.5,6.0,5.0,8.0,6.0,5.0
87.0,17.5,6.0,4.0,11.0,4.0,5.0
47.0,4.29,4.0,4.0,3.0,4.0,3.0
62.0,22.0,5.0,4.0,20.0,4.0,3.0
47.0,8.8,4.0,4.0,3.0,3.0,3.0
40.0,7.5,4.0,4.0,3.0,4.0,4.0
100.0,24.5,5.0,4.0,30.0,6.0,4.0
45.0,8.8,4.0,7.0,3.0,10.0,10.0
114.0,32.0,5.0,6.0,5.0,6.0,5.0
119.0,35.0,6.0,6.0,8.0,6.0,6.0
141.0,26.5,7.0,4.0,12.0,4.0,4.0
167.0,34.0,10.0,4.0,12.0,4.0,5.0
87.0,6.8,5.0,2.0,10.0,3.0,2.0
212.0,128.0,19.0,4.0,30.0,6.0,6.0
30.0,4.85,4.0,2.0,1.0,2.0,1.0
45.0,6.1,3.0,5.0,2.0,6.0,4.0
28.0,3.5,3.0,2.0,2.0,2.0,1.0
25.0,3.0,5.0,3.0,1.0,3.0,3.0
37.0,4.15,3.0,3.0,1.0,3.0,3.0
126.0,0.12,12.0,3.0,5.0,4.0,3.0
135.0,24.5,6.0,3.0,12.0,4.0,4.0
160.0,120.0,8.0,4.0,20.0,4.0,4.0
35.0,2.4,4.0,3.0,4.0,4.0,3.0
54.0,13.5,6.0,6.0,8.0,5.0,4.0
31.0,6.3,3.0,4.0,2.0,4.0,2.0
300.0,34.0,15.0,3.0,30.0,5.0,4.0
32.0,3.3,3.0,5.0,3.0,4.0,4.0
33.0,3.1,3.0,4.0,3.0,3.0,3.0
33.0,6.6,3.0,4.0,4.0,3.0,3.0
33.0,5.3,2.0,5.0,2.0,6.0,4.0
32.0,4.5,3.0,5.0,2.0,4.0,4.0
40.0,5.6,4.0,5.0,2.0,3.0,4.0
36.0,3.2,5.0,1.0,2.0,1.0,1.0
39.0,6.9,4.0,5.0,2.0,3.0,4.0
38.0,4.45,3.0,5.0,2.0,5.0,4.0
37.0,12.8,3.0,7.0,4.0,4.0,5.0
39.0,6.3,3.0,4.0,8.0,4.0,5.0
39.0,5.6,4.0,5.0,3.0,6.0,5.0
34.0,6.5,3.0,4.0,2.0,3.0,3.0
63.0,9.5,11.0,4.0,2.0,4.0,4.0
82.0,41.5,9.0,4.0,20.0,4.0,4.0
150.0,92.5,8.0,4.0,12.0,5.0,6.0
37.0,5.5,3.0,4.0,3.0,3.0,4.0
35.0,6.1,3.0,4.0,3.0,4.0,3.0
38.0,4.75,3.0,4.0,3.0,3.0,3.0
42.0,9.0,3.0,5.0,4.0,6.0,4.0
43.0,6.5,4.0,4.0,3.0,4.0,3.0
42.0,6.3,5.0,5.0,5.0,5.0,5.0
43.0,8.6,3.0,4.0,3.0,4.0,4.0
45.0,5.95,6.0,5.0,2.0,3.0,3.0
45.0,8.1,4.0,6.0,2.0,4.0,5.0
45.0,4.75,3.0,4.0,2.0,5.0,3.0
46.0,6.3,4.0,3.0,3.0,3.0,2.0
48.0,9.8,4.0,5.0,3.0,6.0,6.0
48.0,6.2,5.0,6.0,4.0,8.0,6.0
43.0,4.95,3.0,5.0,2.0,6.0,4.0
140.0,48.5,16.0,5.0,20.0,6.0,5.0
57.0,15.0,5.0,5.0,2.0,4.0,5.0
130.0,26.5,10.0,5.0,30.0,6.0,6.0
32.0,7.3,4.0,5.0,2.0,4.0,4.0
70.0,20.0,4.0,5.0,40.0,8.0,8.0
85.0,13.5,10.0,5.0,2.0,5.0,5.0
80.0,26.4,7.0,5.0,3.0,4.0,4.0
30.0,4.45,4.0,5.0,1.0,3.0,4.0
31.0,5.25,3.0,5.0,1.0,3.0,4.0
120.0,52.0,6.0,5.0,20.0,6.0,5.0
50.0,12.6,4.0,5.0,8.0,4.0,4.0
90.0,19.0,6.0,5.0,10.0,4.0,4.0
125.0,0.047,4.0,5.0,5.0,8.0,6.0
